player,nation,position,team,age,birth_year,matches_played,Starts,minutes,90s,goals,assists,G+A,G-PK,PK,PKatt,yellow_cards,red_cards,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,market_value_eur,age_tm,nationality_tm,age_num,pos_group,cluster_kmeans,cluster_dbscan,pca_x,pca_y,cluster_label
Agustín Sández,py PAR,"DF,MF",Rosario Central,25-153,2001.0,12,11,836,9.28888888888889,0.0,0.1077,1,0,0,0,5,0,0.0,0.11,0.11,0.0,0.11,0.8612,0.1077,12.5,0.86,0.11,0.0,0.0,70.0,58.1,74.0,3,1,21.0,2,1.93,11.0,9.0,2.0,0.22,-0.08,0,1.3995,0.7536,1,3.0144,1.5072,1.0766,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,2500000.0,25.0,Paraguay,25.0,Defensor,0,-1,0.1268,0.9685,Defensor defensivo puro
Nicolás Sansotre,ar ARG,"DF,MF",Dep. Riestra,32-283,1993.0,13,13,1145,12.722222222222221,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.393,0.0786,20.0,0.39,0.08,0.0,0.0,88.0,79.5,88.0,12,0,,0,0.54,3.0,10.0,-7.0,-0.55,-0.55,0,0.7074,0.1572,1,1.3362,0.786,0.9432,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,300000.0,32.0,Argentina,32.0,Defensor,1,0,0.5501,-0.4334,Defensor mixto
Thiago Santamaría,ar ARG,DF,Sarmiento–J,23-075,2003.0,12,11,840,9.333333333333334,0.0,0.1071,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,0.75,0.1071,14.3,0.75,0.11,0.0,0.0,70.0,58.3,76.0,5,1,9.0,3,1.58,10.0,9.0,1.0,0.11,1.31,0,0.8571,1.0714,1,2.25,1.6071,1.3929,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,800000.0,23.0,Argentina,23.0,Defensor,0,-1,-0.0235,0.5664,Defensor defensivo puro
Augusto Schott,ar ARG,DF,Talleres–C,26-152,2000.0,15,15,1317,14.633333333333333,0.205,0.0,3,3,0,0,5,0,0.21,0.0,0.21,0.21,0.21,1.0251,0.3417,33.3,1.03,0.34,0.2,0.6,88.0,91.5,88.0,13,0,,0,1.56,16.0,13.0,3.0,0.21,-0.53,0,0.9567,0.82,1,2.2551,0.9567,1.6401,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1200000.0,26.0,Argentina,26.0,Defensor,2,-1,1.4881,0.912,Defensor con proyeccion ofensiva
Agustín Seyral,ar ARG,DF,Sarmiento–J,21-138,2005.0,11,8,720,8.0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,65.0,50.0,83.0,7,3,18.0,5,1.73,7.0,8.0,-1.0,-0.12,0.63,0,1.375,0.625,0,0.125,2.625,0.875,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,150000.0,21.0,Argentina,21.0,Defensor,1,0,-0.7255,-1.7231,Defensor mixto
Tomás Silva,ar ARG,DF,Platense,23-102,2003.0,13,13,1170,13.0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5385,0.0,0.0,0.54,0.0,0.0,0.0,90.0,81.3,90.0,13,0,,2,1.15,9.0,10.0,-1.0,-0.08,1.26,0,0.9231,0.6154,2,3.0,1.3077,2.2308,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,2000000.0,23.0,Argentina,23.0,Defensor,4,2,0.3049,0.9128,Defensor — alto market_value_eur
Pedro Silva Torrejón,ar ARG,DF,Gimnasia–LP,29-144,1997.0,16,16,1374,15.266666666666667,0.0,0.0655,1,0,0,0,0,0,0.0,0.07,0.07,0.0,0.07,0.524,0.131,25.0,0.52,0.13,0.0,0.0,86.0,95.4,86.0,12,0,,0,1.61,18.0,17.0,1.0,0.07,1.43,0,0.3275,1.179,2,3.0131,1.2445,1.179,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1200000.0,29.0,Argentina,29.0,Defensor,0,0,1.3372,0.5853,Defensor defensivo puro
Thiago Silvero,ar ARG,DF,Vélez Sarsfield,20-061,2006.0,4,2,196,2.1777777777777776,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.3776,0.0,0.0,1.38,0.0,0.0,0.0,49.0,13.6,90.0,2,2,8.0,12,1.25,3.0,1.0,2.0,0.92,0.63,0,0.9184,1.3776,1,4.1327,1.8367,1.3776,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,300000.0,20.0,Argentina,20.0,Defensor,4,0,-1.4933,-0.0049,Defensor — alto market_value_eur
Diego Sosa,ar ARG,"MF,DF",Instituto,28-325,1997.0,16,16,1369,15.21111111111111,0.0657,0.1315,3,1,0,0,1,0,0.07,0.13,0.2,0.07,0.2,1.1176,0.1972,17.6,1.12,0.2,0.06,0.33,86.0,95.1,86.0,13,0,,0,1.31,15.0,15.0,0.0,0.0,0.0,0,0.7889,0.5917,1,5.1278,0.7889,1.0519,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,800000.0,28.0,Argentina,28.0,Defensor,0,3,1.1514,2.1947,Defensor defensivo puro
Santiago Sosa,ar ARG,"MF,DF",Racing Club,27-046,1999.0,16,16,1412,15.688888888888888,0.0,0.0637,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,0.8286,0.1275,15.4,0.83,0.13,0.0,0.0,88.0,98.1,88.0,14,0,,0,1.33,16.0,15.0,1.0,0.06,-3.15,0,1.5297,0.5099,0,0.3187,1.7847,1.211,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,8000000.0,27.0,Argentina,27.0,Defensor,3,-1,2.6636,0.3584,Defensor de bajo impacto
